recipe_title,subcategory,ingredients,directions,num_ingredients,num_steps,est_prep_time_min,est_cook_time_min,dietary_profile,healthiness_score,health_level
Panko Buffalo Chicken Tenders,Buffalo Chicken Wings,"[""2 cups panko bread crumbs"", ""½ cup Italian-seasoned bread crumbs"", ""1 teaspoon garlic powder"", ""salt and ground black pepper to taste"", ""2 pounds boneless, skinless chicken breast, cut into tender-size pieces"", ""1 ½ cups Buffalo wing sauce""]","[""Preheat the oven to 400 degrees F (200 degrees C)."", ""Combine panko bread crumbs, Italian-seasoned bread crumbs, garlic powder, salt, and pepper in a bowl. Pour Buffalo wing sauce into a separate bowl."", ""Coat chicken breast pieces on both sides with Buffalo sauce then evenly coat with bread crumb mixture. Lay pieces flat on a baking sheet."", ""Bake in the preheated oven until no longer pink in the center, juices run clear, and chicken has reached desired crispiness, about 20 minutes. An instant-read thermometer inserted into the center should read at least 165 degrees F (74 degrees C).""]",6,4,11,24,"[""gluten_free"", ""nut_free"", ""halal"", ""kosher""]",78,moderate
Buffalo Chicken Skillet,Buffalo Chicken Wings,"[""3 pounds chicken breast tenderloins"", ""¾ teaspoon salt"", ""¾ teaspoon ground black pepper"", ""6 large eggs"", ""1 ½ cups panko bread crumbs"", ""9 tablespoons canola oil"", ""¾ cup Buffalo wing sauce (such as Frank's®), or to taste"", ""1 ½ cups shredded mozzarella cheese""]","[""Season chicken with salt and black pepper. Set aside."", ""Whisk eggs in a shallow bowl until smooth. Place panko in a separate shallow bowl."", ""Dip chicken in eggs, then press into panko to coat."", ""Heat 3 tablespoons oil in a large skillet over medium heat. Cook 1/3 of the breaded chicken in hot oil until crust is golden and center is no longer pink, about 4 minutes per side. Transfer to a paper towel-lined plate to drain. Repeat with remaining oil and breaded chicken in 2 batches."", ""Return pan-fried chicken to the skillet. Pour wing sauce over chicken and sprinkle cheese on top. Reduce heat to low, cover, and cook until cheese is melted, about 5 minutes.""]",8,5,22,62,"[""gluten_free"", ""nut_free"", ""halal"", ""kosher""]",62,moderate
Spicy Buffalo Chex Mix,Buffalo Chicken Wings,"[""½ cup butter"", ""½ cup hot sauce"", ""1 (1 ounce) package dry ranch-flavored seasoning mix"", ""6 cups crispy rice cereal squares (such as Rice Chex®)"", ""4 cups crispy wheat cereal squares (such as Wheat Chex®)"", ""1 ¾ cups dry-roasted peanuts"", ""1 ½ cups fish-shaped pretzel crackers (such as Pepperidge Farm® Goldish®)"", ""1 ½ cups Parmesan-flavored fish-shaped crackers (such as Pepperidge Farm® Goldish®)""]","[""Preheat oven to 350 degrees F (175 degrees C)."", ""Heat butter in a microwave-safe bowl in the microwave until melted, 25 to 30 seconds. Add hot sauce and microwave until heated through, 20 to 30 seconds more. Stir in ranch seasoning."", ""Combine rice cereal squares, wheat cereal squares, peanuts, pretzel crackers, and Parmesan-flavored crackers in a large bowl. Pour in butter mixture; mix thoroughly to coat. Spread in 2 ungreased 9x13-inch baking pans."", ""Bake in the preheated oven until golden, about 15 minutes. Remove from oven and stir well. Return to the oven; bake until dried, about 15 minutes more. Spread on paper towels to cool.""]",8,4,19,41,"[""nut_free"", ""halal"", ""kosher""]",66,moderate
Air Fryer Vegan Buffalo Cauliflower,Buffalo Chicken Wings,"[""1 ½ pounds cauliflower florets"", ""4 tablespoons egg substitute, liquid"", ""¾ cup all-purpose flour"", ""1 teaspoon garlic powder"", ""1 teaspoon paprika"", ""½ teaspoon salt"", ""¼ teaspoon ground black pepper"", ""nonstick cooking spray"", ""½ cup vegan Buffalo wing sauce (such as Frank's)""]","[""Preheat the air fryer to 400 degrees F (200 degrees C)."", ""Place cauliflower florets in a large bowl. Pour egg substitute over florets and stir to coat."", ""Mix together flour, garlic powder, paprika, salt, and pepper in a large plastic resealable bag. Seal the bag and shake until evenly combined."", ""Drop 1/2 of the florets into seasoned flour in the bag. Seal the bag and shake until evenly coated. Place florets in the air fryer basket. Spray the tops with nonstick cooking spray."", ""Cook in the preheated air fryer for 5 minutes. Flip cauliflower over, spray any chalky spots, and cook for 5 minutes more. Repeat with remaining cauliflower florets."", ""Meanwhile, heat buffalo wing sauce in a small saucepan over medium heat until warm."", ""Transfer cauliflower to a large bowl. Pour warm sauce over the top and toss until evenly coated. Serve hot.""]",9,7,29,66,"[""nut_free"", ""halal"", ""kosher""]",78,moderate
"Hot Buffalo Chicken, Bacon, and Cheese Sandwich",Buffalo Chicken Wings,"[""6 slices bacon"", ""½ cup mayonnaise"", ""¼ cup sour cream"", ""2 tablespoons hot buffalo wing sauce"", ""1 loaf Italian bread, cut in half lengthwise"", ""3 cups shredded meat from a rotisserie chicken"", ""8 slices pepperjack cheese"", ""¼ cup roasted red bell peppers, drained and sliced (Optional)""]","[""Preheat an oven to 325 degrees F (165 degrees C)."", ""Place the bacon in a large, deep skillet; cook over medium-high heat, turning occasionally, until evenly browned. Drain the bacon slices on a paper towel-lined plate."", ""Combine the mayonnaise, sour cream, and hot sauce in a small bowl. Spread both halves of the bread with the mayonnaise mixture. Place chicken on bottom half of bread; layer bacon and cheese on top of chicken. Fold the top half of the bread over the bottom, and wrap with foil."", ""Bake for 20 to 25 minutes. Add a layer of red pepper slices on top of the bacon and cheese, if desired. Cut into slices, and serve.""]",8,4,23,59,"[""gluten_free"", ""nut_free""]",56,moderate
Easy Buffalo Chicken Salad,Buffalo Flavored Recipes,"[""2 boneless chicken breasts"", ""2 tablespoons Cajun seasoning"", ""1/4 cup grapeseed oil"", ""1/3 cup ranch dressing"", ""1/3 cup hot sauce"", ""8 cups lettuce"", ""1 cup cherry tomatoes, halved"", ""1/2 cucumber, sliced"", ""1/2 cup shredded carrots"", ""1/2 cup blue cheese"", ""salad dressing""]","[""Preheat the oven to 400 degrees F (200 degrees C). Grease a baking sheet."", ""Season chicken with 1 tablespoon Cajun seasoning. Heat oil in a cast iron skillet over medium-high heat. Add chicken to the hot oil, without crowding, and cook, turning once, until no longer pink at the center and juices run clear, about 6 minutes per side. An instant-read thermometer inserted near the center will read 165 degrees F (74 degrees C). Remove chicken from pan to a plate to cool, about 10 minutes."", ""Stir ranch dressing, hot sauce, and remaining 1 tablespoon Cajun seasoning together in a large bowl."", ""Cut chicken into bite-sized pieces; add to bowl with sauce mixture and toss well. Place chicken on the prepared baking sheet."", ""Bake in the preheated oven until just beginning to get crisp, 5 to 10 minutes; remove to cool, about 10 minutes."", ""Combine green leafy lettuce, tomatoes, cucumbers, and carrots in a salad bowl. Add Buffalo chicken and blue cheese crumbles. Serve with your favorite dressing.""]",11,6,23,55,"[""gluten_free"", ""nut_free"", ""halal"", ""kosher""]",66,moderate
Buffalo Pretzels,Buffalo Flavored Recipes,"[""16 o pretzel twists"", ""1/2 cup vegetable oil"", ""2 tablespoons seasoning""]","[""Place pretzel twists in a large bowl."", ""Whisk vegetable oil and Frank's seasoning in a separate bowl until smooth. Pour mixture over the pretzels. Gently stir to coat. Let stand for 15 minutes."", ""Preheat the oven to 275 degrees F (135 degrees C). Gently toss the pretzel mixture again; let stand for 15 minutes while the oven preheats. Divide pretzels between 2 large rimmed baking sheets in an even layer."", ""Bake in the preheated oven until crisp, about 20 minutes. Remove baking sheets from the oven to cool for 15 minutes. Store in an airtight container.""]",3,4,10,34,"[""gluten_free"", ""nut_free"", ""halal"", ""kosher""]",64,moderate
Boneless Buffalo Wings,Buffalo Flavored Recipes,"[""oil for deep frying"", ""1 cup unbleached all-purpose flour"", ""2 teaspoons salt"", ""½ teaspoon ground black pepper"", ""½ teaspoon cayenne pepper"", ""½ teaspoon paprika"", ""¼ teaspoon garlic powder"", ""1 large egg"", ""1 cup milk"", ""3 skinless, boneless chicken breasts, cut into 1/2-inch strips"", ""¼ cup hot pepper sauce"", ""1 tablespoon butter""]","[""Gather all ingredients and heat oil in a deep-fryer or large saucepan to 375 degrees F (190 degrees C)."", ""Combine flour, salt, black pepper, cayenne pepper, paprika, and garlic powder in a large bowl."", ""Whisk egg and milk together in a small bowl."", ""Dip each piece of chicken in egg mixture, then roll in flour mixture. Repeat so that each piece of chicken is double-coated. Refrigerate breaded chicken for 20 minutes."", ""Fry chicken in hot oil in batches. Cook until golden brown and juices run clear, 5 to 6 minutes. An instant-read thermometer inserted into the center should read at least 165 degrees F (74 degrees C)."", ""Combine hot sauce and butter in a microwave-safe bowl. Heat sauce in the microwave until melted, 20 to 30 seconds. Pour sauce over fried chicken; mix to coat."", ""Serve and enjoy!""]",12,7,29,63,"[""nut_free"", ""halal"", ""kosher""]",54,moderate
Buffalo Shrimp,Buffalo Flavored Recipes,"[""2 cups all-purpose flour"", ""2 tablespoons Creole-style seasoning"", ""1 tablespoon garlic powder"", ""1 tablespoon ground cayenne pepper"", ""1 teaspoon onion powder"", ""1 teaspoon freshly ground black pepper"", ""1 pound large shrimp, peeled and deveined with tails attached"", ""4 cups oil for frying""]","[""Combine flour, Creole-style seasoning, garlic powder, cayenne pepper, onion powder, and black pepper in a large resealable plastic bag."", ""Rinse shrimp under cold water and place them in flour mixture. Seal the bag and shake until shrimp are well coated with flour mixture. Spread coated shrimp on a baking sheet and place in the refrigerator for 15 to 20 minutes. Set aside flour mixture in the bag."", ""Meanwhile, make sauce: Whisk together hot sauce, butter, garlic, and cayenne pepper in a small bowl; set aside."", ""Heat oil in a deep fryer or large saucepan to 350 degrees F (175 degrees C)."", ""Remove shrimp from the refrigerator and shake once more in flour mixture; discard flour mixture."", ""Working in batches, fry shrimp in hot oil until opaque, 2 to 3 minutes. Use a slotted spoon to remove fried shrimp to a serving bowl and coat with sauce.""]",8,6,19,38,"[""nut_free"", ""halal""]",58,moderate
Buffalo-Style Chicken Pizza,Buffalo Flavored Recipes,"[""3 cooked chicken breasts, diced"", ""1 (2 ounce) bottle hot sauce"", ""2 tablespoons butter, melted"", ""1 (8 ounce) bottle blue cheese salad dressing"", ""1 (16 inch) prepared pizza crust"", ""1 (8 ounce) package shredded mozzarella cheese""]","[""Gather the ingredients."", ""Preheat the oven to 425 degrees F (220 degrees C)."", ""Mix chicken, hot sauce, and melted butter in a bowl until well combined."", ""Place crust onto a rimmed baking sheet or pizza pan. Spread salad dressing over crust."", ""Top with chicken mixture and sprinkle with mozzarella."", ""Bake in the preheated oven until crust is golden brown and cheese is bubbly, about 5 to 10 minutes. Let sit a few minutes before slicing.""]",6,6,12,40,"[""gluten_free"", ""nut_free"", ""halal"", ""kosher""]",64,moderate
Baked Buffalo Chicken Mac and Cheese,Buffalo Flavored Recipes,"[""cooking spray"", ""1 (16 ounce) package elbow macaroni"", ""1 (16 ounce) container sour cream"", ""1 (8 ounce) package cream cheese, softened"", ""1 (12 fluid ounce) can evaporated milk"", ""1 (12 fluid ounce) bottle Buffalo wing sauce (such as Frank's®)"", ""1 (1 ounce) package ranch dressing mix"", ""1 rotisserie chicken, meat removed and chopped"", ""2 cups shredded Cheddar cheese, divided"", ""1 cup panko bread crumbs"", ""¼ cup melted butter""]","[""Preheat oven to 350 degrees F (175 degrees C). Spray a 9x13-inch baking dish with cooking spray."", ""Bring a large pot of lightly salted water to a boil. Cook elbow macaroni in the boiling water, stirring occasionally until cooked through but firm to the bite, 8 minutes. Drain."", ""Stir sour cream and cream cheese together in a bowl until smooth; add evaporated milk. Stir Buffalo wing sauce and ranch dressing into sour cream mixture; mix in shredded chicken, macaroni, and 1 1/2 cups Cheddar cheese. Pour macaroni mixture into prepared baking dish. Top with bread crumbs and remaining 1/2 cup Cheddar cheese; drizzle melted butter over the top."", ""Bake in the preheated oven until bubbling and golden, 20 to 30 minutes.""]",11,4,21,29,"[""gluten_free"", ""nut_free"", ""halal"", ""kosher""]",52,moderate
Buffalo Chicken Fingers,Buffalo Flavored Recipes,"[""4 skinless, boneless chicken breast halves - cut into finger-sized pieces"", ""¼ cup all-purpose flour"", ""1 teaspoon garlic powder"", ""1 teaspoon cayenne pepper"", ""½ teaspoon salt"", ""¾ cup bread crumbs"", ""2 egg whites, beaten"", ""1 tablespoon water""]","[""Preheat oven to 400 degrees F (205 degrees C). Coat a baking sheet with a nonstick spray."", ""In a bag, mix together flour, 1/2 teaspoon garlic powder, 1/2 teaspoon cayenne pepper, and 1/4 teaspoon salt. On a plate, mix the bread crumbs with the rest of the garlic powder, cayenne pepper, and salt."", ""Shake the chicken pieces with the seasoned flour. Beat egg whites with 1 tablespoon water, and place egg mixture in a shallow dish or bowl. Dip seasoned chicken in egg mixture, then roll in the seasoned bread crumb mixture. Place on prepared baking sheet."", ""Bake for about 8 minutes in the preheated oven. Use tongs to turn pieces over. Bake 8 minutes longer, or until chicken juices run clear.""]",8,4,16,58,"[""nut_free"", ""halal"", ""kosher""]",78,moderate
Buffalo Chicken Pasta Salad,Buffalo Flavored Recipes,"[""1 (16 ounce) package dry rotini pasta"", ""1 cup chunky blue cheese dressing"", ""½ cup mayonnaise"", ""½ cup B uffalo wing sauce"", ""1 teaspoon salt"", ""½ teaspoon ground black pepper"", ""1 pound frozen cooked chicken strips, defrosted and diced"", ""1 cup red onion, diced"", ""½ cup red bell pepper, diced"", ""½ cup green bell pepper, diced""]","[""Fill a large pot with lightly salted water and bring to a rolling boil. Stir in rotini and return to a boil. Cook rotini uncovered, stirring occasionally, until tender yet firm to the bite, about 8 minutes. Drain well in a colander set in the sink."", ""Combine blue cheese dressing, mayonnaise, Buffalo sauce, salt, and pepper together in a large bowl. Stir in chicken, onion, bell peppers, and rotini; toss to coat. Cover and refrigerate at least 1 hour before serving.""]",10,2,19,23,"[""nut_free"", ""halal"", ""kosher""]",66,moderate
Crispy Buffalo Shrimp,Buffalo Flavored Recipes,"[""vegetable oil for frying"", ""½ cup all-purpose flour, plus more for dusting"", ""1 ½ teaspoons lemon pepper seasoning"", ""1 teaspoon baking powder"", ""1 teaspoon salt"", ""1 teaspoon garlic powder"", ""1 pinch cayenne pepper"", ""2 large eggs"", ""1 teaspoon milk"", ""30 frozen medium shrimp, thawed, shelled, and deveined"", ""¼ cup hot pepper sauce (such as Frank's RedHot), or to taste""]","[""Heat oil in a deep fryer or large saucepan to 375 degrees F (190 degrees C)."", ""Whisk flour, lemon pepper seasoning, baking powder, salt, garlic powder, and cayenne pepper together in a bowl. Whisk eggs and milk together in a separate bowl."", ""Pat shrimp dry with paper towels. Dip shrimp in egg mixture, then dredge in flour mixture to evenly coat. Transfer shrimp to a baking sheet in a single layer until ready to fry; sprinkle remaining flour to fully cover as needed."", ""Carefully lower shrimp, in batches of 8 to 10, into the hot oil; fry until golden brown and cooked through on the inside, about 5 minutes. Transfer to a baking sheet lined with paper towels. Repeat with remaining shrimp."", ""Toss shrimp with hot sauce in a large bowl until completely coated.""]",11,5,25,52,"[""nut_free"", ""halal""]",70,moderate
Air Fryer Vegan Buffalo Tofu Bites,Buffalo Flavored Recipes,"[""1 (8 ounce) container extra-firm tofu"", ""4 tablespoons cornstarch"", ""4 tablespoons unsweetened rice milk"", ""¾ cup panko bread crumbs"", ""⅛ teaspoon garlic powder"", ""⅛ teaspoon paprika"", ""⅛ teaspoon onion powder"", ""⅛ teaspoon freshly ground black pepper"", ""⅔ cup vegan Buffalo wing sauce (such as Frank's®)""]","[""Remove tofu block from the package and discard liquid. Wrap tofu in cheesecloth, place on a plate, and cover with a heavy pot until remaining liquid has been squeezed out, about 10 minutes. Remove the cheesecloth and cut tofu into 20 1-inch, bite-sized pieces. Place in a freezer-safe container and freeze, 8 hours or overnight."", ""Remove tofu from freezer and thaw on paper towels or a dry cheesecloth. Pat dry."", ""While tofu is thawing, put cornstarch into a resealable plastic bag. Pour rice milk into a small bowl."", ""Preheat an air fryer to 375 degrees F (190 degrees C)."", ""Place tofu into the bag with cornstarch, seal, and shake to coat the tofu pieces completely. Remove tofu pieces and dredge each piece in rice milk."", ""Place bread crumbs, garlic powder, paprika, onion powder, and pepper in the resealable plastic bag with the cornstarch residue; shake until well mixed. Place each piece of tofu, one at a time, back in the bag with the bread crumbs. Shake the bag until tofu piece is completely coated, tap gently to shake off excess, and place tofu on a wire rack while you repeat with remaining tofu pieces."", ""Add coated tofu to the air fryer basket and cook for 10 minutes. Shake the basket to loosen the pieces. Cook for another 3 minutes or until browned."", ""Place 1/3 cup Buffalo sauce in a bowl, add cooked tofu bites, and toss to coat. Drizzle remaining Buffalo sauce over tofu and continue tossing to coat. Serve immediately.""]",9,8,32,115,"[""gluten_free"", ""nut_free"", ""halal"", ""kosher""]",80,healthy
Buffalo Chicken Salad,Buffalo Flavored Recipes,"[""2 cups cubed, cooked chicken"", ""3 stalks celery, diced"", ""2 green onions, chopped"", ""½ cup ranch dressing"", ""¼ cup hot buffalo wing sauce (such as Frank's® REDHOT Buffalo Wing Sauce), or to taste"", ""salt and freshly ground black pepper to taste""]","[""Combine chicken, celery, green onions, ranch dressing, Buffalo wing sauce, salt, and pepper in a bowl.""]",6,1,8,3,"[""gluten_free"", ""nut_free"", ""halal"", ""kosher""]",78,moderate
Meatless Buffalo Dip,Buffalo Flavored Recipes,"[""1 (8 ounce) package cream cheese, softened"", ""1 cup blue cheese dressing"", ""1 cup shredded Cheddar cheese, divided"", ""½ cup Buffalo wing sauce"", ""1 (15 ounce) can cannellini beans, drained and rinsed"", ""1 teaspoon chopped fresh chives, or to taste""]","[""Preheat the oven to 350 degrees F (175 degrees C)."", ""Beat cream cheese, blue cheese dressing, 1/2 cup Cheddar cheese, and Buffalo wing sauce together in a bowl. Slightly mash cannellini beans in a separate bowl; fold into cheese mixture. Spread mixture into a pie pan or baking dish and top with remaining Cheddar cheese and chives."", ""Bake in the preheated oven until bubbly, 20 to 25 minutes.""]",6,3,11,21,"[""gluten_free"", ""nut_free"", ""halal"", ""kosher""]",68,moderate
Actually Delicious Buffalo Turkey Burgers,Buffalo Flavored Recipes,"[""2 pounds 99%-lean ground turkey"", ""1 small onion, minced"", ""½ cup panko bread crumbs"", ""¼ cup Buffalo wing sauce"", ""¼ cup chopped fresh parsley (Optional)"", ""1 egg"", ""3 cloves garlic, minced"", ""1 teaspoon salt"", ""½ teaspoon celery seeds"", ""¼ teaspoon ground black pepper"", ""1 pinch cayenne pepper"", ""1 pinch paprika"", ""12 hamburger buns, split"", ""12 slices Monterey Jack cheese"", ""6 tablespoons ranch dressing, or to taste"", ""6 tablespoons Buffalo wing sauce, or to taste""]","[""Preheat a George Foreman Grill or an outdoor grill for medium-high heat and lightly oil the grate."", ""Combine ground turkey, onion, panko bread crumbs, ¼ cup Buffalo wing sauce, parsley, egg, garlic, salt, celery seeds, black pepper, cayenne pepper, and paprika in a large bowl; form into 12 patties."", ""Cook patties on the preheated grill for 3 minutes; flip. Continue cooking until cooked through, about 2 minutes more. An instant-read thermometer inserted into centers should read at least 165 degrees F (74 degrees C)."", ""Place each burger inside a bun; top each burger with 1 slice Monterey Jack cheese."", ""Combine ranch dressing and 6 tablespoons Buffalo wing sauce in a bowl; divide and spread onto each burger.""]",16,5,28,66,"[""gluten_free"", ""nut_free"", ""halal"", ""kosher""]",70,moderate
Cheesy Buffalo Chicken Casserole,Buffalo Flavored Recipes,"[""1 (14 ounce) package chicken tenders"", ""1 (8 ounce) package cream cheese, softened"", ""½ cup ranch dressing"", ""⅓ cup Buffalo wing sauce"", ""2 tablespoons water"", ""2 cups shredded Colby-Jack cheese"", ""2 cups cooked rice"", ""2 cups shredded sharp Cheddar cheese"", ""2 cups crushed corn tortilla chips (such as Tostitos)""]","[""Preheat the oven to 350 degrees F (175 degrees C)."", ""Bring a large pot of water to a boil; add chicken tenders and cook until no longer pink in centers and an instant-read thermometer inserted into centers reads at least 165 degrees F (75 degrees C), 10 to 15 minutes. Drain; cool until easy to handle, about 5 minutes. Shred chicken with 2 forks."", ""Add cream cheese to a blender; blend until smooth. Add ranch dressing, wing sauce, and water; blend until smooth. Stir in shredded chicken and Colby-Jack cheese."", ""Spread rice in a 9x13-inch baking dish. Pour Buffalo chicken mixture on top; sprinkle with Cheddar cheese. Cover baking dish with aluminum foil."", ""Bake in the preheated oven until cheese is melted and bubbly, about 45 minutes. Sprinkle chips on top.""]",9,5,21,32,"[""gluten_free"", ""nut_free"", ""halal"", ""kosher""]",58,moderate
Buffalo Chicken Dutch Babies,Buffalo Flavored Recipes,"[""3 tablespoons butter"", ""3 large boneless, skinless chicken thighs"", ""kosher salt and freshly ground black pepper to taste"", ""⅓ cup Louisiana-style hot sauce (such as Franks®)""]","[""Melt 3 tablespoons butter in a saucepan over medium-high heat. Add chicken thighs with the smoother sides facing down and cook until browned, 3 to 4 minutes. Flip and repeat on the other sides. Turn off the heat and remove chicken to a plate. Let sit until cool enough to handle, about 10 minutes."", ""Cut chicken into ½-inch pieces and transfer back to the plate."", ""Pour chicken and any accumulated juices back into the saucepan. Season with salt, pepper, and cayenne. Stir in hot sauce, turn heat to medium-high, and bring to a simmer. Reduce heat to medium and simmer, stirring occasionally, until slightly reduced, 10 to 15 minutes. Transfer to a bowl to cool."", ""Meanwhile, combine eggs, salt, flour, and milk for Dutch babies in a bowl. Whisk for a few minutes until batter is smooth and thin. Let rest for 15 to 20 minutes."", ""Grease a 12-cup muffin tin with 1 tablespoon butter, then spray the cups with nonstick spray."", ""Transfer the rested batter into a liquid measure. Pour into the prepared muffin cups, filling each about halfway full. Spoon some Buffalo chicken into each cup then sprinkle blue cheese over top."", ""Place in the center of a cold oven. Set a baking sheet on a lower rack to catch any drips. Turn the heat to 450 degrees F (230 degrees C) and set a timer for 30 minutes, at which point the Dutch babies should be puffed up and browned."", ""Remove from the oven and let sit until the centers collapse, 3 to 5 minutes. Let cool in the pan for another 5 minutes, then use a fork to carefully remove them to a wire rack. Serve hot, warm, or at room temperature with a celery stick in each one.""]",4,8,25,127,"[""nut_free"", ""halal"", ""kosher""]",62,moderate
Buffalo Cauliflower Florets,Buffalo Flavored Recipes,"[""cooking spray"", ""⅓ cup Buffalo wing sauce (such as Frank's®)"", ""3 tablespoons mayonnaise"", ""1 large egg"", ""6 cups cauliflower florets"", ""1 ½ cups garlic croutons"", ""¼ cup grated Parmesan cheese""]","[""Preheat oven to 450 degrees F (230 degrees C). Spray a baking sheet with cooking spray."", ""Whisk wing sauce, mayonnaise, and egg together in a large bowl. Toss cauliflower florets in the sauce mixture to coat completely. Spread cauliflower out on baking sheet."", ""Pulse croutons into fine crumbs in a food processor. Add Parmesan cheese and mix to combine. Sprinkle crouton and cheese mixture over cauliflower."", ""Bake in the preheated oven until cauliflower is golden brown and tender, about 15 minutes. Let sit before removing from baking sheet, about 5 minutes."", ""Mix blue cheese dressing with sour cream and black pepper to make dip. Serve dip alongside cauliflower.""]",7,5,16,27,"[""gluten_free"", ""nut_free"", ""halal"", ""kosher""]",72,moderate
Slow Cooker Buffalo Cauliflower Casserole,Buffalo Flavored Recipes,"[""1 head cauliflower, broken into large pieces"", ""1 stalk celery, sliced"", ""4 ounces cream cheese, cubed"", ""½ cup Buffalo wing sauce"", ""¼ cup ranch salad dressing"", ""1 ½ cups shredded mozzarella cheese""]","[""Place cauliflower florets and celery in the bottom of a slow cooker in an even layer. Top with cream cheese."", ""Whisk Buffalo wing sauce and ranch dressing together in a bowl. Stir in mozzarella cheese and pour mixture over the cauliflower. Cook on Low for 3 hours, stirring every hour.""]",6,2,13,33,"[""gluten_free"", ""nut_free"", ""halal"", ""kosher""]",64,moderate
Buffalo Blue Cheese Chicken Burgers,Buffalo Flavored Recipes,"[""1 pound ground chicken"", ""1 cup dry bread crumbs"", ""¾ cup crumbled blue cheese"", ""1 extra large egg"", ""¼ cup onion, chopped (Optional)"", ""⅓ cup buffalo wing sauce"", ""4 hamburger buns, split and toasted""]","[""Mix together the chicken, bread crumbs, blue cheese, egg, onion, and wing sauce in a mixing bowl until evenly combined. Form into 4 patties and place between sheets of waxed paper or plastic wrap. Place into an airtight container and refrigerate overnight for best results."", ""Preheat an outdoor grill for medium-high heat, and lightly oil grate."", ""Cook the patties on the preheated grill until no longer pink in the center and the juices run clear, about 3 minutes per side. Serve on toasted buns with condiments of your choice.""]",7,3,16,65,"[""gluten_free"", ""nut_free"", ""halal"", ""kosher""]",62,moderate
Touchdown Pizza,Buffalo Flavored Recipes,"[""1 (14 ounce) package prebaked pizza crust (such as Boboli®)"", ""1 cup diced cooked chicken breast"", ""3 tablespoons Buffalo wing sauce"", ""½ cup Buffalo wing sauce"", ""1 (4 ounce) package crumbled blue cheese"", ""1 stalk celery, thinly sliced"", ""1 cup shredded mozzarella cheese""]","[""Preheat oven to 475 degrees F (245 degrees C). Line a baking sheet with aluminum foil."", ""Place pizza crust on the prepared baking sheet."", ""Mix chicken and 3 tablespoons wing sauce together in a bowl until evenly coated."", ""Spread 1/2 cup wing sauce on the pizza crust; top with blue cheese, chicken mixture, and celery. Cover pizza with mozzarella cheese."", ""Bake in the preheated oven until pizza is cooked through and cheese is bubbling, about 12 minutes. Cool pizza about 5 minutes before cutting into squares.""]",7,5,12,32,"[""gluten_free"", ""nut_free"", ""halal"", ""kosher""]",64,moderate
Baked Buffalo Bison Dip,Buffalo Flavored Recipes,"[""2 tablespoons butter"", ""2 pounds ground bison"", ""1 1/2 teaspoons kosher salt"", ""1/2 teaspoon ground black pepper"", ""1/2 yellow onion, diced"", ""1/3 cup hot sauce, such as Frank's or other Louisiana-style hot sauce, or to taste"", ""8 ounces cream cheese, at room temperature"", ""8 ounces pepper Jack cheese, divided"", ""3 ounces blue cheese, crumbled, divided"", ""1/2 cup celery"", ""1 pinch cayenne pepper"", ""1/4 cup green onions (optional)"", ""2 tablespoons chopped celery leaves (optional)""]","[""Preheat the oven to 425 degrees F (220 degrees C)."", ""Melt butter in a skillet over high heat and add bison. Season with salt and pepper, and cook, stirring, until deeply browned and crusty, breaking into very small crumbles with a spatula, about 5 minutes."", ""Add onion, reduce heat to medium, and cook until onion is translucent, a few minutes more. Stir in hot sauce, and turn off heat. Let cool while preparing remaining ingredients."", ""Add cream cheese to a large bowl. Reserve a few tablespoons of grated Jack cheese and blue cheese, and add the rest to the bowl. Add meat mixture and diced celery and stir until thoroughly combined."", ""Transfer to a 2-quart baking dish, and top with reserved cheese. Dust with cayenne if desired."", ""Bake in the preheated oven until dip is heated through, and cheeses on top are melted, 10 to 15 minutes. Let rest 10 minutes before serving. Garnish with more diced celery, green onions, and chopped celery leaves. Serve with sliced bread or tortilla chips.""]",13,6,28,96,"[""gluten_free"", ""nut_free"", ""halal"", ""kosher""]",66,moderate
Skillet Chicken Bulgogi,Bulgogi,"[""¼ cup chopped onion"", ""5 tablespoons soy sauce"", ""2 ½ tablespoons brown sugar"", ""2 tablespoons minced garlic"", ""2 tablespoons sesame oil"", ""1 tablespoon sesame seeds"", ""½ teaspoon cayenne"", ""salt and ground black pepper to taste"", ""1 pound skinless, boneless chicken breasts, cut into thin strips""]","[""Whisk onion, soy sauce, brown sugar, garlic, sesame oil, sesame seeds, cayenne pepper, salt, and black pepper together in a bowl until marinade is smooth."", ""Cook and stir chicken and marinade together in a large skillet over medium-high heat until chicken is cooked through, about 15 minutes.""]",9,2,14,16,"[""gluten_free"", ""nut_free"", ""halal"", ""kosher""]",70,moderate
